step,capital,state,lat,lon,cumulative_cost_mxn
0,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,0.0
1,Cuernavaca,Morelos,18.9242,-99.2216,491.071
2,Toluca,Mexico,19.2826,-99.6557,965.984
3,Pachuca,Hidalgo,20.1011,-98.7591,1983.736
4,Santiago de Queretaro,Queretaro,20.5888,-100.3899,3555.407
5,Morelia,Michoacan,19.705,-101.194,4540.848
6,Guanajuato,Guanajuato,21.019,-101.2574,5639.97
7,San Luis Potosi,San Luis Potosi,22.1565,-100.9855,6816.104
8,Zacatecas,Zacatecas,22.7709,-102.5832,8141.133
9,Aguascalientes,Aguascalientes,21.8853,-102.2916,8939.614
10,Guadalajara,Jalisco,20.6597,-103.3496,10351.382
11,Colima,Colima,19.2433,-103.725,11603.764
12,Tepic,Nayarit,21.5042,-104.8946,13963.411
13,Durango,Durango,24.0277,-104.6532,16405.524
14,Culiacan,Sinaloa,24.8091,-107.394,19076.474
15,La Paz,Baja California Sur,24.1426,-110.3128,21602.73
16,Hermosillo,Sonora,29.0729,-110.9559,26366.266
17,Mexicali,Baja California,32.6245,-115.4523,31019.116
18,Chihuahua,Chihuahua,28.6329,-106.0691,39097.173
19,Saltillo,Coahuila,25.4267,-100.9954,44521.474
20,Monterrey,Nuevo Leon,25.6866,-100.3161,45159.122
21,Ciudad Victoria,Tamaulipas,23.7369,-99.1411,47145.552
22,San Francisco de Campeche,Campeche,19.845,-90.5239,55457.706
23,Merida,Yucatan,20.9674,-89.5926,56727.787
24,Chetumal,Quintana Roo,18.5002,-88.2961,59295.432
25,Villahermosa,Tabasco,17.9895,-92.9475,63292.832
26,Tuxtla Gutierrez,Chiapas,16.7516,-93.116,64381.261
27,Oaxaca de Juarez,Oaxaca,17.0732,-96.7266,67662.737
28,Chilpancingo,Guerrero,17.5515,-99.5006,70013.86
29,Puebla,Puebla,19.0413,-98.2062,71683.209
30,Tlaxcala,Tlaxcala,19.3139,-98.2404,71922.703
31,Xalapa,Veracruz,19.5438,-96.9102,73156.677
32,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,75035.991
