step,capital,state,lat,lon,cumulative_cost_mxn
0,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,0.0
1,Pachuca,Hidalgo,20.1011,-98.7591,509.033
2,Tlaxcala,Tlaxcala,19.3139,-98.2404,1218.342
3,Puebla,Puebla,19.0413,-98.2062,1400.746
4,Xalapa,Veracruz,19.5438,-96.9102,2332.562
5,Villahermosa,Tabasco,17.9895,-92.9475,4937.128
6,San Francisco de Campeche,Campeche,19.845,-90.5239,6998.532
7,Merida,Yucatan,20.9674,-89.5926,7955.414
8,Chetumal,Quintana Roo,18.5002,-88.2961,9870.159
9,Tuxtla Gutierrez,Chiapas,16.7516,-93.116,13270.88
10,Oaxaca de Juarez,Oaxaca,17.0732,-96.7266,15759.656
11,Chilpancingo,Guerrero,17.5515,-99.5006,17556.379
12,Morelia,Michoacan,19.705,-101.194,19389.945
13,Santiago de Queretaro,Queretaro,20.5888,-100.3899,20204.427
14,Guanajuato,Guanajuato,21.019,-101.2574,20795.981
15,San Luis Potosi,San Luis Potosi,22.1565,-100.9855,21679.116
16,Aguascalientes,Aguascalientes,21.8853,-102.2916,22652.926
17,Zacatecas,Zacatecas,22.7709,-102.5832,23305.193
18,Guadalajara,Jalisco,20.6597,-103.3496,24798.04
19,Colima,Colima,19.2433,-103.725,25749.722
20,Tepic,Nayarit,21.5042,-104.8946,27513.369
21,Durango,Durango,24.0277,-104.6532,29351.182
22,Culiacan,Sinaloa,24.8091,-107.394,31370.132
23,La Paz,Baja California Sur,24.1426,-110.3128,33292.488
24,Hermosillo,Sonora,29.0729,-110.9559,36900.924
25,Mexicali,Baja California,32.6245,-115.4523,40418.374
26,Chihuahua,Chihuahua,28.6329,-106.0691,46511.432
27,Monterrey,Nuevo Leon,25.6866,-100.3161,50849.174
28,Saltillo,Coahuila,25.4267,-100.9954,51337.688
29,Ciudad Victoria,Tamaulipas,23.7369,-99.1411,52861.569
30,Cuernavaca,Morelos,18.9242,-99.2216,56337.096
31,Toluca,Mexico,19.2826,-99.6557,56696.709
32,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,57038.907
