step,capital,state,lat,lon,cumulative_cost_mxn
0,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,0.0
1,Xalapa,Veracruz,19.5438,-96.9102,1870.116
2,Villahermosa,Tabasco,17.9895,-92.9475,5316.083
3,San Francisco de Campeche,Campeche,19.845,-90.5239,8078.187
4,Merida,Yucatan,20.9674,-89.5926,9348.268
5,Chetumal,Quintana Roo,18.5002,-88.2961,11915.914
6,Tuxtla Gutierrez,Chiapas,16.7516,-93.116,16450.734
7,Oaxaca de Juarez,Oaxaca,17.0732,-96.7266,19732.21
8,Chilpancingo,Guerrero,17.5515,-99.5006,22083.333
9,Toluca,Mexico,19.2826,-99.6557,23593.563
10,Cuernavaca,Morelos,18.9242,-99.2216,24054.297
11,Puebla,Puebla,19.0413,-98.2062,24863.072
12,Tlaxcala,Tlaxcala,19.3139,-98.2404,25102.566
13,Pachuca,Hidalgo,20.1011,-98.7591,26044.389
14,Santiago de Queretaro,Queretaro,20.5888,-100.3899,27616.06
15,Morelia,Michoacan,19.705,-101.194,28601.5
16,Colima,Colima,19.2433,-103.725,30888.832
17,Guadalajara,Jalisco,20.6597,-103.3496,32205.951
18,Tepic,Nayarit,21.5042,-104.8946,33715.444
19,Durango,Durango,24.0277,-104.6532,36157.556
20,Culiacan,Sinaloa,24.8091,-107.394,38828.506
21,La Paz,Baja California Sur,24.1426,-110.3128,41354.763
22,Hermosillo,Sonora,29.0729,-110.9559,46118.298
23,Mexicali,Baja California,32.6245,-115.4523,50771.149
24,Chihuahua,Chihuahua,28.6329,-106.0691,58849.206
25,Saltillo,Coahuila,25.4267,-100.9954,64273.507
26,Monterrey,Nuevo Leon,25.6866,-100.3161,64911.155
27,Ciudad Victoria,Tamaulipas,23.7369,-99.1411,66897.585
28,San Luis Potosi,San Luis Potosi,22.1565,-100.9855,69243.5
29,Zacatecas,Zacatecas,22.7709,-102.5832,70568.529
30,Aguascalientes,Aguascalientes,21.8853,-102.2916,71367.01
31,Guanajuato,Guanajuato,21.019,-101.2574,72535.573
32,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,74821.808
