step,capital,state,lat,lon,cumulative_cost_mxn
0,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,0.0
1,Toluca,Mexico,19.2826,-99.6557,583.338
2,Cuernavaca,Morelos,18.9242,-99.2216,1097.622
3,Chilpancingo,Guerrero,17.5515,-99.5006,2509.205
4,Morelia,Michoacan,19.705,-101.194,5206.771
5,Santiago de Queretaro,Queretaro,20.5888,-100.3899,6400.003
6,Guanajuato,Guanajuato,21.019,-101.2574,7271.607
7,San Luis Potosi,San Luis Potosi,22.1565,-100.9855,8594.242
8,Aguascalientes,Aguascalientes,21.8853,-102.2916,10056.152
9,Zacatecas,Zacatecas,22.7709,-102.5832,11022.969
10,Guadalajara,Jalisco,20.6597,-103.3496,13219.316
11,Colima,Colima,19.2433,-103.725,14622.048
12,Tepic,Nayarit,21.5042,-104.8946,17279.695
13,Durango,Durango,24.0277,-104.6532,20023.958
14,Culiacan,Sinaloa,24.8091,-107.394,23020.908
15,La Paz,Baja California Sur,24.1426,-110.3128,25849.114
16,Hermosillo,Sonora,29.0729,-110.9559,31190.2
17,Mexicali,Baja California,32.6245,-115.4523,36410.75
18,Chihuahua,Chihuahua,28.6329,-106.0691,45481.308
19,Saltillo,Coahuila,25.4267,-100.9954,51607.208
20,Monterrey,Nuevo Leon,25.6866,-100.3161,52323.806
21,Ciudad Victoria,Tamaulipas,23.7369,-99.1411,54552.686
22,San Francisco de Campeche,Campeche,19.845,-90.5239,63830.99
23,Merida,Yucatan,20.9674,-89.5926,65257.671
24,Chetumal,Quintana Roo,18.5002,-88.2961,68151.767
25,Villahermosa,Tabasco,17.9895,-92.9475,72623.866
26,Tuxtla Gutierrez,Chiapas,16.7516,-93.116,73847.445
27,Oaxaca de Juarez,Oaxaca,17.0732,-96.7266,77525.271
28,Xalapa,Veracruz,19.5438,-96.9102,80078.402
29,Puebla,Puebla,19.0413,-98.2062,81474.204
30,Tlaxcala,Tlaxcala,19.3139,-98.2404,81742.248
31,Pachuca,Hidalgo,20.1011,-98.7591,82799.921
32,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,83556.678
