step,capital,state,lat,lon,cumulative_cost_mxn
0,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,0.0
1,Aguascalientes,Aguascalientes,21.8853,-102.2916,2656.461
2,Zacatecas,Zacatecas,22.7709,-102.5832,3308.729
3,Guadalajara,Jalisco,20.6597,-103.3496,4801.575
4,Colima,Colima,19.2433,-103.725,5753.257
5,Tepic,Nayarit,21.5042,-104.8946,7516.905
6,Durango,Durango,24.0277,-104.6532,9354.717
7,Culiacan,Sinaloa,24.8091,-107.394,11373.667
8,La Paz,Baja California Sur,24.1426,-110.3128,13296.024
9,Hermosillo,Sonora,29.0729,-110.9559,16904.459
10,Mexicali,Baja California,32.6245,-115.4523,20421.91
11,Chihuahua,Chihuahua,28.6329,-106.0691,26514.967
12,Saltillo,Coahuila,25.4267,-100.9954,30536.068
13,Monterrey,Nuevo Leon,25.6866,-100.3161,31015.816
14,Ciudad Victoria,Tamaulipas,23.7369,-99.1411,32517.346
15,San Luis Potosi,San Luis Potosi,22.1565,-100.9855,34300.561
16,Pachuca,Hidalgo,20.1011,-98.7591,36281.061
17,Tlaxcala,Tlaxcala,19.3139,-98.2404,36990.371
18,Puebla,Puebla,19.0413,-98.2062,37172.775
19,Chilpancingo,Guerrero,17.5515,-99.5006,38445.508
20,Oaxaca de Juarez,Oaxaca,17.0732,-96.7266,40240.602
21,Tuxtla Gutierrez,Chiapas,16.7516,-93.116,42750.598
22,San Francisco de Campeche,Campeche,19.845,-90.5239,45560.379
23,Merida,Yucatan,20.9674,-89.5926,46517.26
24,Chetumal,Quintana Roo,18.5002,-88.2961,48432.006
25,Villahermosa,Tabasco,17.9895,-92.9475,51480.005
26,Xalapa,Veracruz,19.5438,-96.9102,54271.14
27,Santiago de Queretaro,Queretaro,20.5888,-100.3899,56832.941
28,Guanajuato,Guanajuato,21.019,-101.2574,57424.495
29,Morelia,Michoacan,19.705,-101.194,58385.001
30,Toluca,Mexico,19.2826,-99.6557,59475.244
31,Cuernavaca,Morelos,18.9242,-99.2216,59828.878
32,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,60204.853
