step,capital,state,lat,lon,cumulative_cost_mxn
0,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,0.0
1,Pachuca,Hidalgo,20.1011,-98.7591,758.933
2,Toluca,Mexico,19.2826,-99.6557,1994.417
3,Cuernavaca,Morelos,18.9242,-99.2216,2508.701
4,Chilpancingo,Guerrero,17.5515,-99.5006,3920.284
5,Oaxaca de Juarez,Oaxaca,17.0732,-96.7266,6562.128
6,Tuxtla Gutierrez,Chiapas,16.7516,-93.116,10271.374
7,San Francisco de Campeche,Campeche,19.845,-90.5239,14436.255
8,Merida,Yucatan,20.9674,-89.5926,15862.936
9,Chetumal,Quintana Roo,18.5002,-88.2961,18757.032
10,Villahermosa,Tabasco,17.9895,-92.9475,23229.131
11,Xalapa,Veracruz,19.5438,-96.9102,27341.466
12,Puebla,Puebla,19.0413,-98.2062,28737.268
13,Tlaxcala,Tlaxcala,19.3139,-98.2404,29005.312
14,Santiago de Queretaro,Queretaro,20.5888,-100.3899,31294.925
15,San Luis Potosi,San Luis Potosi,22.1565,-100.9855,33001.458
16,Ciudad Victoria,Tamaulipas,23.7369,-99.1411,35267.464
17,Monterrey,Nuevo Leon,25.6866,-100.3161,37525.454
18,Saltillo,Coahuila,25.4267,-100.9954,38261.618
19,Durango,Durango,24.0277,-104.6532,41950.437
20,Culiacan,Sinaloa,24.8091,-107.394,44947.387
21,Chihuahua,Chihuahua,28.6329,-106.0691,48829.682
22,Hermosillo,Sonora,29.0729,-110.9559,53621.508
23,Mexicali,Baja California,32.6245,-115.4523,58842.058
24,La Paz,Baja California Sur,24.1426,-110.3128,68397.259
25,Tepic,Nayarit,21.5042,-104.8946,73724.244
26,Zacatecas,Zacatecas,22.7709,-102.5832,76325.003
27,Aguascalientes,Aguascalientes,21.8853,-102.2916,77217.583
28,Guanajuato,Guanajuato,21.019,-101.2574,78532.747
29,Guadalajara,Jalisco,20.6597,-103.3496,80734.991
30,Colima,Colima,19.2433,-103.725,82137.724
31,Morelia,Michoacan,19.705,-101.194,84639.672
32,Ciudad de Mexico,Ciudad de Mexico,19.4326,-99.1332,86982.292
