hourly_value_mxn,algorithm,best_cost_mxn,mean_cost_mxn,std_cost_mxn,best_seed,best_runtime_s
120.0,aco,53627.4253,53627.4253,0.0,7,0.6672
120.0,ga,81584.5326,81584.5326,0.0,7,0.3032
200.0,aco,68164.2902,68164.2902,0.0,7,0.5884
200.0,ga,105713.5795,105713.5795,0.0,7,0.3212
