funcion,dimension,metodo,corridas,valor_objetivo_promedio,desviacion,mejor_valor,peor_valor,evaluaciones_promedio
Rastrigin,2,GD,20,18.108136893419264,9.982276734567964,1.9899181141865832,33.82832417602924,101
Rastrigin,2,DE,20,0.09949594917517394,0.2984877026585449,7.105427357601002e-15,0.9949590572021876,2021
Rastrigin,2,EA,20,4.349687970055527e-05,8.692781516611074e-05,7.105427357601002e-15,0.0003726150512548543,5001
Rastrigin,2,PSO,20,5.884709500136864e-07,2.5172299883259473e-06,2.1646684444931452e-11,1.156046754857698e-05,3031
Rastrigin,3,GD,20,26.067763547622924,12.240703396748694,4.974790247647377,49.74744586908446,101
Rastrigin,3,DE,20,0.7172052720544372,0.6005993218856724,4.775033944071083e-05,1.9339140483302302,2021
Rastrigin,3,EA,20,0.0007813513716120824,0.002293825011935843,7.014891423295921e-08,0.01065157843854081,5001
Rastrigin,3,PSO,20,0.15153997207511588,0.3543681433258025,2.003083920953941e-09,0.9949816114879084,3031
Rosenbrock,2,GD,20,1.294852367479232,1.5066954215386563,0.001980487245977096,4.916507860958299,101
Rosenbrock,2,DE,20,5.507103793518607e-15,1.0193685199655375e-14,8.828295663008993e-19,4.292411040464731e-14,2021
Rosenbrock,2,EA,20,0.06163512763388616,0.11242771305830537,2.9322314913706824e-06,0.4586186178955407,5001
Rosenbrock,2,PSO,20,5.84797140844725e-06,1.3098190068640139e-05,4.5305824572498966e-10,5.889112709952859e-05,3031
Rosenbrock,3,GD,20,1.4083521844077305,1.0216366736349405,0.005780525977961427,3.959564818455887,101
Rosenbrock,3,DE,20,0.0025214510137927687,0.010924780252446155,8.54893214360848e-09,0.050141208076159,2021
Rosenbrock,3,EA,20,0.7379612168608088,0.5728481461721546,0.18452459107065852,3.042465639992393,5001
Rosenbrock,3,PSO,20,0.08946447061965476,0.04768812373809639,4.9975336195085e-05,0.20664488506818396,3031
